,date,close
4391,2000-03-15,10900
4392,2000-03-14,9770
4393,2000-03-13,8730
4394,2000-03-10,7800
4395,2000-03-09,8150
4396,2000-03-08,7370
4397,2000-03-07,7900
4398,2000-03-06,7990
4399,2000-03-03,7450
4400,2000-03-02,7150
4401,2000-02-29,6390
4402,2000-02-28,5710
4403,2000-02-25,5100
4404,2000-02-24,5370
4405,2000-02-23,5300
4406,2000-02-22,5630
4407,2000-02-21,5110
4408,2000-02-18,5400
4409,2000-02-17,5350
4410,2000-02-16,5800
4411,2000-02-15,5210
4412,2000-02-14,5390
4413,2000-02-11,5320
4414,2000-02-10,5860
4415,2000-02-09,5900
4416,2000-02-08,5990
4417,2000-02-07,6240
4418,2000-02-03,6300
4419,2000-02-02,5760
4420,2000-01-31,6480
4421,2000-01-28,6190
4422,2000-01-27,5530
4423,2000-01-26,4940
4424,2000-01-25,5500
4425,2000-01-24,5000
4426,2000-01-21,4720
4427,2000-01-20,4900
4428,2000-01-19,5500
4429,2000-01-18,5400
4430,2000-01-17,5550
4431,2000-01-14,6280
4432,2000-01-12,6350
4433,2000-01-11,6470
4434,2000-01-10,6800
4435,2000-01-07,6290
4436,2000-01-06,6520
4437,2000-01-05,6280
4438,2000-01-04,5730
4439,1999-12-28,5330
4440,1999-12-27,5980
4441,1999-12-24,6000
4442,1999-12-23,6760
4443,1999-12-22,6130
4444,1999-12-21,5700
4445,1999-12-20,6440
4446,1999-12-17,5910
4447,1999-12-16,6590
4448,1999-12-15,6650
4449,1999-12-14,6580
4450,1999-12-13,6900
4451,1999-12-10,7780
4452,1999-12-09,6950
4453,1999-12-08,6790
4454,1999-12-07,7280
4455,1999-12-06,7450
4456,1999-12-03,7490
4457,1999-12-02,7700
4458,1999-12-01,7700
4459,1999-11-30,8000
4460,1999-11-29,7800
4461,1999-11-26,7900
4462,1999-11-25,8000
4463,1999-11-24,8150
4464,1999-11-23,8890
4465,1999-11-22,8050
4466,1999-11-19,7420
4467,1999-11-18,8000
4468,1999-11-17,8740
4469,1999-11-16,8520
4470,1999-11-15,7610
4471,1999-11-11,8300
4472,1999-11-10,8500
4473,1999-11-09,9350
4474,1999-11-08,9300
4475,1999-11-05,8610
4476,1999-11-04,9780
4477,1999-11-03,9790
4478,1999-11-02,8960
4479,1999-11-01,8000
4480,1999-10-29,7800
4481,1999-10-28,7600
4482,1999-10-27,7650
4483,1999-10-26,7960
4484,1999-10-25,7110
4485,1999-10-22,7050
4486,1999-10-21,7280
4487,1999-10-20,7440
4488,1999-10-19,7440
4489,1999-10-18,8450
4490,1999-10-15,8800
4491,1999-10-14,8800
4492,1999-10-13,8500
4493,1999-10-12,9210
4494,1999-10-11,8230
4495,1999-10-08,7500
4496,1999-10-07,7570
4497,1999-10-06,7390
4498,1999-10-05,7750
4499,1999-10-04,7500
4500,1999-10-01,6900
4501,1999-09-30,7100
4502,1999-09-29,7400
4503,1999-09-28,7790
4504,1999-09-27,7780
